delta,correct_pad,correct_amatch,auroc_pad,auroc_amatch,delta_vs_p_only,pad_w0,pad_w1,pad_w2,pad_w3,pad_w4,pad_w5,pad_w6,pad_l0,pad_l1,pad_l2,pad_l3,pad_l4,am_w0,am_w1,am_w2,am_w3,am_w4,am_w5,am_w6,am_l0,am_l1,am_l2,am_l3,am_l4,min_train_pairs,mean_train_pairs,r,kind
-3.0,603,606,0.9694070881937736,0.9745523441563266,6.0,0,0,1,1,0,1,2,0,0,0,1,4,0,0,0,1,0,2,2,0,0,0,2,3,498,525.6,124,null
0.0,608,608,0.967865368898135,0.9681347054015901,11.0,0,0,0,1,0,4,0,0,0,0,4,1,0,0,0,1,0,4,0,0,0,0,4,1,498,525.6,125,null
-1.0,606,607,0.9632773608737647,0.9611691061743072,9.0,0,0,0,4,0,1,0,0,0,1,2,2,0,0,1,3,0,1,0,0,0,0,3,2,498,525.6,127,null
0.0,611,611,0.9748402555910542,0.9758897392079651,14.0,0,0,0,1,0,4,0,0,0,0,4,1,0,0,0,1,0,4,0,0,0,0,4,1,498,525.6,126,null
-2.0,609,611,0.9727505758228695,0.9722026153503232,12.0,0,0,0,3,0,2,0,0,0,0,2,3,0,0,0,2,0,3,0,0,0,0,3,2,498,525.6,128,null
-4.0,606,610,0.9690634519652276,0.9768184857716027,9.0,0,0,1,1,0,2,1,0,0,0,3,2,0,0,0,2,0,2,1,0,0,0,2,3,498,525.6,129,null
-1.0,608,609,0.9718589791217772,0.9747195185377814,11.0,0,0,0,4,0,0,1,0,0,0,0,5,0,0,0,2,0,2,1,0,0,0,2,3,498,525.6,131,null
0.0,618,618,0.9755461029794189,0.9755461029794189,21.0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,498,525.6,130,null
-2.0,609,611,0.9753603536666915,0.974459469499963,12.0,0,0,0,2,0,3,0,0,0,0,3,2,0,0,0,2,0,3,0,0,0,0,3,2,498,525.6,132,null
0.0,607,607,0.9641132327810387,0.9671502340441339,10.0,0,0,2,0,0,1,2,0,0,0,1,4,0,0,2,0,0,3,0,0,0,0,3,2,498,525.6,133,null
0.0,615,615,0.9738372093023255,0.9742458577903261,18.0,0,0,0,3,0,1,1,0,0,0,1,4,0,0,0,4,0,1,0,0,0,0,1,4,498,525.6,134,null
-2.0,602,604,0.9761683631770564,0.9785088045174233,5.0,0,0,0,1,0,2,2,0,0,0,3,2,0,0,0,1,0,3,1,0,0,0,4,1,498,525.6,135,null
0.0,610,610,0.9731777992421428,0.970549446467048,13.0,0,0,1,0,0,1,3,0,0,0,2,3,0,0,0,3,0,0,2,0,0,0,0,5,498,525.6,136,null
-1.0,601,602,0.9662307749461326,0.9656178022141317,4.0,0,0,0,5,0,0,0,0,0,0,1,4,0,0,0,4,0,1,0,0,0,0,2,3,498,525.6,137,null
0.0,612,612,0.969193476484137,0.9738929340961439,15.0,0,0,0,1,0,3,1,0,0,0,5,0,0,0,0,0,0,4,1,0,0,0,5,0,498,525.6,138,null
4.0,605,601,0.9694999628501375,0.9589586893528491,8.0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,1,0,0,0,0,5,498,525.6,139,null
1.0,614,613,0.9742458577903262,0.9721933278846868,17.0,0,0,0,3,0,0,2,0,0,0,3,2,0,0,0,4,0,0,1,0,0,0,2,3,498,525.6,140,null
-3.0,608,611,0.9803941600416078,0.9804127349728806,11.0,0,0,1,0,1,3,0,0,1,3,1,0,0,0,0,1,0,4,0,0,0,0,5,0,498,525.6,141,null
-1.0,610,611,0.9792239393714243,0.9794189761497883,13.0,0,0,0,1,0,4,0,0,0,0,5,0,0,0,0,1,0,4,0,0,0,0,4,1,498,525.6,142,null
0.0,612,612,0.9720540159001411,0.9720540159001411,15.0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,498,525.6,144,null
-2.0,607,609,0.9778679693885133,0.9779515565792406,10.0,0,0,0,3,0,2,0,0,0,0,2,3,0,0,0,3,0,2,0,0,0,0,2,3,498,525.6,143,null
1.0,605,604,0.9707351957797755,0.9754253659261461,8.0,0,0,1,2,1,0,1,0,0,0,2,3,0,0,3,2,0,0,0,0,0,0,1,4,498,525.6,145,null
0.0,608,608,0.9723140649379597,0.9719425663125046,11.0,0,0,0,4,0,0,1,0,0,0,0,5,0,0,0,3,0,1,1,0,0,0,1,4,498,525.6,146,null
