scenario,seed,level,family,errors,error_rate,n,correct,accuracy,auroc,average_precision,squared_loss,certification_M,risk_upper,additive_error_lower,classification_certified,B1_integer_rule,auc_lower,auc_correction,auc_certified
B3,43,ideal,joint,455,0.111083984375,4096,3641,0.888916015625,0.9647404682936369,0.9658945815790976,0.3106718961267756,30.0,0.14050316000913698,0.062053269747480905,False,,0.905889143705556,0.05885132458808096,False
B3,43,ideal,A_match,660,0.1611328125,4096,3436,0.8388671875,0.9131322816822125,0.9103828750072508,0.5464475692102226,,,,,,,,
B3,43,ideal,A_rbf,660,0.1611328125,4096,3436,0.8388671875,0.8991524059292229,0.8934877425224995,0.7633300870534765,,,,,,,,
B3,43,ideal,full_P_RBF,660,0.1611328125,4096,3436,0.8388671875,0.8991524059292229,0.8934877425224995,0.7633300870534765,,,,,,,,
B4,17,ideal,joint,688,0.16796875,4096,3408,0.83203125,0.8726751715666641,0.8682049244333483,0.980659949322845,30.0,0.19738792563413698,0.07932762696572854,False,,0.8138367080728202,0.058838463493843876,False
B4,17,ideal,A_match,688,0.16796875,4096,3408,0.83203125,0.8728918948818012,0.8686540642582767,0.9805301129861537,,,,,,,,
B4,17,ideal,A_rbf,688,0.16796875,4096,3408,0.83203125,0.8733100826648051,0.8688855243487829,0.9742879136428435,,,,,,,,
B4,17,ideal,full_P_RBF,688,0.16796875,4096,3408,0.83203125,0.874107119015194,0.8693436068339513,0.9621581325663612,,,,,,,,
B4,29,ideal,joint,645,0.157470703125,4096,3451,0.842529296875,0.9013051352774217,0.8985914946234981,0.7562740769545973,30.0,0.18688987875913698,0.07932762696572854,False,,0.8424649883229658,0.058840146954455934,False
B4,29,ideal,A_match,645,0.157470703125,4096,3451,0.842529296875,0.897711709546481,0.8949704140551782,0.8482996780101262,,,,,,,,
B4,29,ideal,A_rbf,646,0.15771484375,4096,3450,0.84228515625,0.8925088601751816,0.879748656411567,0.9625227145681288,,,,,,,,
B4,29,ideal,full_P_RBF,646,0.15771484375,4096,3450,0.84228515625,0.8925088601751816,0.879748656411567,0.9625227145681288,,,,,,,,
B4,43,ideal,joint,648,0.158203125,4096,3448,0.841796875,0.8835676734612905,0.8425458873865722,0.961204978445221,30.0,0.18762230063413698,0.07932762696572854,False,,0.824726516361105,0.0588411571001855,False
B4,43,ideal,A_match,648,0.158203125,4096,3448,0.841796875,0.8813799743627896,0.839834714434501,0.9897363636758187,,,,,,,,
B4,43,ideal,A_rbf,648,0.158203125,4096,3448,0.841796875,0.8857384432261683,0.8445952271130441,0.9377180687192681,,,,,,,,
B4,43,ideal,full_P_RBF,648,0.158203125,4096,3448,0.841796875,0.883860240959259,0.8425549743383143,0.9610110916391084,,,,,,,,
B5,17,ideal,joint,366,0.08935546875,4096,3730,0.91064453125,0.9750439022808202,0.9746864777759479,0.27729466138441267,30.0,0.11877464438413697,0.02389517613640734,False,,0.9161992373262027,0.05884466495461743,False
B5,17,ideal,A_match,688,0.16796875,4096,3408,0.83203125,0.8743025952185861,0.8306501594200276,0.91385245277454,,,,,,,,
B5,17,ideal,A_rbf,680,0.166015625,4096,3416,0.833984375,0.8818072382246023,0.8672087129170692,0.7845909992288553,,,,,,,,
B5,17,ideal,full_P_RBF,680,0.166015625,4096,3416,0.833984375,0.9142338777756684,0.9104721733629005,0.5018533238696844,,,,,,,,
B5,29,ideal,joint,350,0.08544921875,4096,3746,0.91455078125,0.9769519326159951,0.9779485765219795,0.2641479928933807,30.0,0.11486839438413697,0.02389517613640734,False,,0.9181063976163876,0.05884553499960751,False
B5,29,ideal,A_match,635,0.155029296875,4096,3461,0.844970703125,0.8779487656440783,0.8358676248579989,0.9791206348706035,,,,,,,,
B5,29,ideal,A_rbf,635,0.155029296875,4096,3461,0.844970703125,0.8802965697496947,0.8385851292078755,0.9597189763060017,,,,,,,,
B5,29,ideal,full_P_RBF,635,0.155029296875,4096,3461,0.844970703125,0.8802965697496947,0.8385851292078755,0.9597189763060017,,,,,,,,
B5,43,ideal,joint,326,0.07958984375,4096,3770,0.92041015625,0.9781630878281337,0.978914596788892,0.2694433011934251,30.0,0.10900901938413697,0.02389517613640734,False,,0.919320352271088,0.05884273555704563,False
B5,43,ideal,A_match,661,0.161376953125,4096,3435,0.838623046875,0.8774744085086148,0.8316445751731789,0.8446945672464835,,,,,,,,
B5,43,ideal,A_rbf,661,0.161376953125,4096,3435,0.838623046875,0.8813209117817552,0.8364590825104337,0.7520907126517673,,,,,,,,
B5,43,ideal,full_P_RBF,661,0.161376953125,4096,3435,0.838623046875,0.8813209117817552,0.8364590825104337,0.7520907126517673,,,,,,,,
B6,17,ideal,joint,1,0.000244140625,4096,4095,0.999755859375,0.9999997614392275,0.999999772918331,0.8859087517390009,30.0,0.029663316259136974,1.583562091655993e-05,False,,0.9411438671330823,0.05885589430614523,False
B6,17,ideal,A_match,1,0.000244140625,4096,4095,0.999755859375,0.999998807196138,0.9999988667512524,0.9409557512138029,,,,,,,,
B6,17,ideal,A_rbf,1,0.000244140625,4096,4095,0.999755859375,0.9999997614392275,0.999999772918331,0.8870642519587114,,,,,,,,
B6,17,ideal,full_P_RBF,1,0.000244140625,4096,4095,0.999755859375,0.9999997614392275,0.999999772918331,0.8870642519587114,,,,,,,,
B6,29,ideal,joint,0,0.0,4096,4096,1.0,1.0,1.0,0.8856500074384885,30.0,0.029419175634136974,1.583562091655993e-05,False,,0.9411613050388901,0.058838694961109946,False
B6,29,ideal,A_match,0,0.0,4096,4096,1.0,1.0,1.0,0.9407759025874809,,,,,,,,
B6,29,ideal,A_rbf,0,0.0,4096,4096,1.0,1.0,1.0,0.8866780205830344,,,,,,,,
B6,29,ideal,full_P_RBF,0,0.0,4096,4096,1.0,1.0,1.0,0.8866780205830344,,,,,,,,
B6,43,ideal,joint,0,0.0,4096,4096,1.0,1.0,1.0,0.8857526009069672,30.0,0.029419175634136974,1.583562091655993e-05,False,,0.9411520441076313,0.05884795589236872,False
B6,43,ideal,A_match,1,0.000244140625,4096,4095,0.999755859375,1.0,1.0,0.9408919144238819,,,,,,,,
B6,43,ideal,A_rbf,1,0.000244140625,4096,4095,0.999755859375,1.0,1.0,0.8868908085779219,,,,,,,,
B6,43,ideal,full_P_RBF,1,0.000244140625,4096,4095,0.999755859375,1.0,1.0,0.8868908085779219,,,,,,,,
